text,intent,tag
bài hát Yêu Để Trở Thành Người Xấu (Em Là Của Em OST),inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O O
bài hát yêu để trở thành người xấu (em là của em ost),inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O O
Níu Duyên,inform,B-inform#name_song I-inform#name_song
níu duyên,inform,B-inform#name_song I-inform#name_song
chạy Níu Duyên,inform,O B-inform#name_song I-inform#name_song
chạy níu duyên,inform,O B-inform#name_song I-inform#name_song
nghe nhạc Đàn Ông Không Nói,inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
nghe nhạc đàn ông không nói,inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Chỉ Có Thể Là Yêu (OST Em Là Của Em),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O O
chỉ có thể là yêu (ost em là của em),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O O
nghe Thương Anh,inform,O B-inform#name_song I-inform#name_song
nghe thương anh,inform,O B-inform#name_song I-inform#name_song
Anh Luôn Là Lý Do,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
anh luôn là lý do,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chơi bài Anh Luôn Là Lý Do,inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chơi bài anh luôn là lý do,inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chơi Sinh Ra Đã Là Thứ Đối Lập Nhau,inform,O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chơi sinh ra đã là thứ đối lập nhau,inform,O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Bước Qua Mùa Cô Đơn,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
bước qua mùa cô đơn,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
bật bài Bước Qua Mùa Cô Đơn,inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
bật bài bước qua mùa cô đơn,inform,O O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Đàn Ông Không Khóc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
đàn ông không khóc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
bật Đàn Ông Không Khóc,inform,O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
bật đàn ông không khóc,inform,O B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Đời Vui Lắm Em Ơi,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
đời vui lắm em ơi,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Ta Không Giống Ai,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
ta không giống ai,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
